"PUID","Format Name","Format Version","Format Risk","Extension"
"fmt/1464","Maestro Music File","","",","
"fmt/175","Microsoft Excel for Macintosh","2001","",","
"fmt/176","Microsoft Excel for Macintosh","2002","",","
"fmt/177","Microsoft Excel for Macintosh","2004","",","
"fmt/172","Microsoft Excel for Macintosh","3.0","",","
"fmt/173","Microsoft Excel for Macintosh","4.0","",","
"fmt/174","Microsoft Excel for Macintosh","98","",","
"fmt/178","Microsoft Excel for Macintosh","X","",","
"fmt/288","Microsoft Front Page Server Extension Configuration","","",","
"fmt/189","Microsoft Office Open XML","2007 onwards","",","
"x-fmt/250","Microsoft Outlook Personal Folders","","",","
"x-fmt/251","Microsoft Outlook Personal Folders","","",","
"fmt/180","Microsoft PowerPoint for Macintosh","98","",","
"fmt/182","Microsoft PowerPoint for Macintosh","X","",","
"x-fmt/246","Microsoft Project","2000","",","
"x-fmt/259","Microsoft Visio Drawing","2002","",","
"x-fmt/2","Microsoft Word for Macintosh Document","6.0","",","
"x-fmt/129","Microsoft Word for Macintosh Document","X","",","
"x-fmt/273","Microsoft Word for MS-DOS Document","3.0","",","
"x-fmt/120","Microsoft Works for Windows","4.0","",","
"x-fmt/118","Microsoft Works Spreadsheet","2.0","",","
"fmt/167","Microsoft Works Spreadsheet for DOS","1.12","",","
"fmt/168","Microsoft Works Spreadsheet for DOS","2.0","",","
"fmt/262","Microsoft Works Spreadsheet for DOS","3","",","
"fmt/263","Microsoft Works Spreadsheet for DOS","3a","",","
"fmt/264","Microsoft Works Spreadsheet for DOS","3b","",","
"fmt/220","Microsoft Works Spreadsheet for Windows","2.0","",","
"fmt/227","Microsoft Works Spreadsheet for Windows","2.0a","",","
"fmt/257","Microsoft Works Spreadsheet for Windows","2000","",","
"fmt/228","Microsoft Works Spreadsheet for Windows","3.0","",","
"fmt/229","Microsoft Works Spreadsheet for Windows","3.0a","",","
"fmt/230","Microsoft Works Spreadsheet for Windows","3.0b","",","
"fmt/231","Microsoft Works Spreadsheet for Windows","4.0","",","
"fmt/247","Microsoft Works Spreadsheet for Windows","4.0a","",","
"fmt/250","Microsoft Works Spreadsheet for Windows","4.5","",","
"fmt/253","Microsoft Works Spreadsheet for Windows","4.5a","",","
"fmt/265","Microsoft Works Word Processor DOS","3","",","
"fmt/266","Microsoft Works Word Processor DOS","3a","",","
"fmt/267","Microsoft Works Word Processor DOS","3b","",","
"fmt/164","Microsoft Works Word Processor for DOS","1.12","",","
"fmt/165","Microsoft Works Word Processor for DOS","2.0","",","
"fmt/221","Microsoft Works Word Processor for Windows","2.0","",","
"fmt/232","Microsoft Works Word Processor for Windows","2.0a","",","
"fmt/234","Microsoft Works Word Processor for Windows","3.0a","",","
"fmt/235","Microsoft Works Word Processor for Windows","3.0b","",","
"fmt/236","Microsoft Works Word Processor for Windows","4.0","",","
"fmt/248","Microsoft Works Word Processor Windows","4.0a","",","
"fmt/251","Microsoft Works Word Processor Windows","4.5","",","
"fmt/254","Microsoft Works Word Processor Windows","4.5a","",","
"fmt/469","MS DOS Compression Format (KWAJ Variant)","","",","
"fmt/462","MS-DOS Compression Format (SZDD Variant)","","",","
"x-fmt/15","MS-DOS Text File","","",","
"x-fmt/130","MS-DOS Text File with line breaks","","",","
"x-fmt/196","NeXt Sound","","",","
"fmt/111","OLE2 Compound Document Format","","",","
"fmt/135","OpenDocument Format","1.0","",","
"x-fmt/25","OS/2 Bitmap","1.0","",","
"fmt/1686","PageMaker Mac Document","4.0","",","
"fmt/1687","PageMaker Mac Document","5.0","",","
"fmt/1201","PowerCADD","","",","
"fmt/1200","PowerDraw","6","",","
"fmt/1070","Preferred Executable Format","","",","
"fmt/1045","Q&A Word Processor Document","","",","
"fmt/1442","QuarkXPress Document","1-2","",","
"fmt/1443","QuarkXPress Document","3.0","",","
"fmt/1894","RagTime Document File","2-3","",","
"fmt/1886","Resource Interchange File Format (RIFF)","","",","
"x-fmt/11","Revisable-Form-Text Document Content Architecture","","",","
"fmt/46","Rich Text Format","1.1","",","
"fmt/47","Rich Text Format","1.2","",","
"fmt/48","Rich Text Format","1.3","",","
"fmt/49","Rich Text Format","1.4","",","
"fmt/51","Rich Text Format","1.6","",","
"x-fmt/358","Silicon Graphics Graphics File","","",","
"x-fmt/186","Silicon Graphics RGB File","","",","
"x-fmt/452","SketchUp Document","","",","
"fmt/1869","SPSS PC File Format","","",","
"x-fmt/404","StarOffice Calc","5.2","",","
"x-fmt/402","StarOffice Draw","5.2","",","
"x-fmt/405","StarOffice Impress","5.2","",","
"x-fmt/403","StarOffice Writer","5.2","",","
"x-fmt/145","Stats+ Data File","","",","
"fmt/113","Still Picture Interchange File Format","2.0","",","
"fmt/1204","Strata StudioPro Vis Format","","",","
"fmt/245","Structured Data Exchange Format","","",","
"fmt/7","Tagged Image File Format","3","",","
"fmt/8","Tagged Image File Format","4","",","
"fmt/9","Tagged Image File Format","5","",","
"fmt/10","Tagged Image File Format","6","",","
"x-fmt/16","Unicode Text File","","",","
"fmt/1478","Unisig","","",","
"fmt/1220","WordPerfect for Macintosh Document","2.x","",","
"fmt/1222","WordPerfect for Macintosh Document","3.5-4.x","",","
"fmt/1221","WordPerfect for Macintosh Document","3.x","",","
"fmt/882","Wordstar 2000","1","",","
"x-fmt/5","Works for Macintosh Document","4.0","",","
"fmt/799","WriteNow","","",","
"fmt/1380","xdomea","2.4.0","",","
"fmt/1174","Hewlett Packard Graphics Language","2","","000,"
"fmt/1935","S-57 Electronic Navigational Chart","3.1","","000,001,002,003,004,006,"
"fmt/1723","Wordcraft Chapter Files","","","001,"
"fmt/1453","Lotus 1-2-3 Worksheet","9.8 Millennium","","123,"
"fmt/1452","Lotus 1-2-3 Worksheet","97","","123,"
"fmt/989","ESRI ArcGlobe Document","","","3dd,"
"x-fmt/433","3DM","1","","3dm,"
"x-fmt/434","3DM","2","","3dm,"
"x-fmt/435","3DM","3","","3dm,"
"x-fmt/432","3DM","4","","3dm,"
"fmt/864","3DM","5","","3dm,"
"fmt/1049","QuickDraw 3D Metafile (ASCII)","","","3dmf,"
"fmt/1203","QuickDraw 3D Metafile (Binary)","0","","3dmf,"
"fmt/1050","QuickDraw 3D Metafile (Binary)","1","","3dmf,"
"x-fmt/19","3D Studio","","","3ds,"
"fmt/1062","Hasselblad 3FR Raw Image","","","3fr,"
"fmt/357","3GPP Audio/Video File","","","3gp,3gpp,"
"fmt/829","3MF 3D Manufacturing Format","","","3mf,"
"fmt/1834","GoDot 4Bit Graphics Format","","","4bt,"
"fmt/1150","4X Movie File","","","4xm,4xa,"
"fmt/1695","602 Text file","1.0-1.51","","602,"
"fmt/484","7Zip format","","","7z,"
"fmt/1835","Archiver Format","","","a,"
"fmt/1812","Audio Data Transport Stream","","","aac,adts,"
"fmt/980","AAE Sidecar Format","","","aae,"
"x-fmt/213","Quicken Data File","","","abd,qdf,qel,"
"fmt/587","LifeTechnologies ABIF","","","abif,"
"fmt/1833","ArcSoft Album and SlideShow Files for PhotoStudio and PhotoImpression","","","abm,sld,"
"fmt/454","Verity Collection Index About File","","","abt,"
"fmt/890","AbiWord Document","","","abw,"
"fmt/1257","AutoCAD Temporary File","","","ac$,"
"fmt/735","Dolby Digital AC-3","","","ac3,"
"x-fmt/301","ACBM Graphics","","","acb,"
"fmt/1814","Adobe Color Book for Windows","","","acb,"
"fmt/275","Microsoft Access Database File","2007","","accdb,"
"x-fmt/217","Adobe ACD","","","acd,"
"fmt/1815","Adobe Color Swatch","","","aco,"
"fmt/1893","Microsoft Agent File","","","acs,"
"fmt/871","Adobe Content Server Message File","","","acsm,"
"fmt/667","Photoshop Curve File","","","acv,atf,"
"fmt/842","AccessData Custom Content Image","","","ad1,ad2,ad3,ad4,ad5,"
"fmt/843","AccessData Custom Content Image (Encrypted)","","","ad1,ad2,ad3,ad4,ad5,"
"fmt/1370","Advanced Disk Catalog","","","adc,"
"x-fmt/357","Scanstudio 16-Colour Bitmap","","","adc,"
"fmt/1361","Amiga Disk File","","","adf,"
"x-fmt/218","ESRI Arc/Info Binary Grid","","","adf,"
"fmt/1057","SNAP Archive Data File","","","adf,"
"x-fmt/134","AutoCAD Device-Independent Binary Plotter File","","","adi,"
"fmt/840","ADX Audio Format","","","adx,"
"fmt/796","Adobe After Effects","","","aep,"
"fmt/1614","Esri ArcExplorer Project File","","","aep,"
"fmt/1620","Aero Studio Song","","","aero,"
"x-fmt/305","Apple Sound","","","afc,"
"fmt/844","Advanced Forensic Format","","","aff,"
"fmt/683","Advanced Function Presentation","","","afp,"
"fmt/1939","Auto FX PhotoGraphic Edges Image File","","","afx,"
"fmt/1649","AGS 4 Data Format","4.0. 4.1","","ags,"
"fmt/1621","AHX-Module Format (formerly THX module format)","0-2","","ahx,"
"x-fmt/20","Adobe Illustrator","1.0 / 1.1","","ai,"
"fmt/418","Adobe Illustrator","3.0 / 3.2","","ai,"
"fmt/419","Adobe Illustrator","4.0","","ai,"
"fmt/420","Adobe Illustrator","5.0 / 5.5","","ai,"
"fmt/423","Adobe Illustrator","7.0","","ai,"
"fmt/417","Adobe Illustrator","88","","ai,"
"fmt/421","Adobe Illustrator","Japan","","ai,"
"fmt/1864","Adobe Illustrator CC 2020 Artwork","24.2+","","ai,ait,"
"fmt/1863","Adobe Illustrator CC 2020 Artwork","24-24.1","","ai,ait,"
"fmt/1862","Adobe Illustrator CC Artwork","17-23","","ai,ait,"
"fmt/422","Adobe Illustrator","6.0","","ai,eps,"
"fmt/557","Adobe Illustrator","8.0","","ai,eps,"
"fmt/559","Adobe Illustrator","10.0","","ai,pdf,"
"fmt/560","Adobe Illustrator","11.0","","ai,pdf,"
"fmt/561","Adobe Illustrator","12.0","","ai,pdf,"
"fmt/562","Adobe Illustrator","13.0","","ai,pdf,"
"fmt/563","Adobe Illustrator","14.0","","ai,pdf,"
"fmt/564","Adobe Illustrator","15.0","","ai,pdf,"
"fmt/565","Adobe Illustrator","16.0","","ai,pdf,"
"fmt/558","Adobe Illustrator","9.0","","ai,pdf,"
"fmt/414","Audio Interchange File Format","","","aif,aiff,"
"x-fmt/136","Audio Interchange File Format (compressed)","","","aifc,"
"fmt/321","ESRI Shapefile Header Index","","","aih,"
"fmt/1696","ESRI Attribute Index Files","","","ain,"
"fmt/937","Adobe Air","1.0","","air,"
"fmt/942","Adobe Air","1.5","","air,"
"fmt/943","Adobe Air","2.0","","air,"
"fmt/1859","Adobe Air","2.5","","air,"
"fmt/841","Interleaved ADX Audio Format (AIX)","","","aix,"
"fmt/1332","HP Photo Album","","","albm,"
"x-fmt/354","SAP Document","","","ali,"
"fmt/1463","Ableton Live Set","8.2.1 onwards","","als,"
"fmt/918","AmiraMesh","3D ASCII 2.0","","am,amiramesh,hx,"
"fmt/919","AmiraMesh","3D Binary 2.0","","am,amiramesh,hx,"
"fmt/920","AmiraMesh","3D Binary Little Endian 2.0","","am,amiramesh,hx,"
"fmt/917","AmiraMesh","ASCII 1.0","","am,amiramesh,hx,"
"fmt/921","AmiraMesh","Binary Little Endian 2.1","","am,amiramesh,hx,"
"fmt/697","Additive Manufacturing File Format","","","amf,"
"fmt/1622","Asylum Music Format","","","amf,"
"fmt/960","DOS Sound and Music Interface Advanced Module Format","","","amf,"
"fmt/356","Adaptive Multi-Rate Audio","","","amr,"
"fmt/1333","Sony PictureGear Studio PhotoAlbum","","","amu,amd,"
"fmt/893","i2 Analysts Notebook","","","anb,"
"fmt/386","Microsoft Animated Cursor Format","","","ani,"
"fmt/1363","DeluxePaint Animation File","","","anm,"
"x-fmt/21","7-bit ANSI Text","","","ans,"
"x-fmt/282","8-bit ANSI Text","","","ans,"
"fmt/1623","Art Of Noise","4 Channel Module","","aon,"
"fmt/1624","Art Of Noise","8 Channel Module","","aon,"
"fmt/1874","Esko ArtPro File","","","ap,"
"fmt/1086","Monkey's Audio File","","","ape,"
"x-fmt/317","ESRI Arc/View Project","2.x","","apr,"
"x-fmt/333","Lotus Approach View File","97","","apr,"
"fmt/332","ESRI Arc/View Project","3.x","","apr,def,"
"x-fmt/334","Lotus Approach View File","","","apt,"
"fmt/1096","FreeArc Archive Format","","","arc,"
"x-fmt/219","Internet Archive","1.0","","arc,"
"fmt/410","Internet Archive","1.1","","arc,"
"fmt/610","ARJ File Format","","","arj,"
"fmt/666","ART image format","","","art,"
"fmt/1877","GST Art File","1","","art,"
"fmt/1878","GST Art File","2","","art,"
"fmt/191","Sony ARW RAW Image File","1.x","","arw,"
"fmt/1127","Sony ARW RAW Image File","2.x","","arw,"
"fmt/967","AppleSingle","1","","as,"
"fmt/968","AppleSingle","2","","as,"
"x-fmt/220","Applixware Spreadsheet","","","as,"
"fmt/1080","ASP Application Directive File","","","asax,"
"x-fmt/22","7-bit ASCII Text","","","asc,"
"x-fmt/283","8-bit ASCII Text","","","asc,"
"fmt/1081","ASP Control Directive File","","","ascx,"
"fmt/1816","Adobe Swatch Exchange","","","ase,"
"fmt/131","Advanced Systems Format","","","asf,"
"x-fmt/137","Electronic Arts Music","","","asf,"
"x-fmt/362","StratGraphics Data File","","","asf,"
"fmt/133","Windows Media Video","","","asf,wmv,"
"fmt/1564","Associated Signature Container Extended (ASiC-E)","","","asice,sce,"
"fmt/1341","Associated Signature Container Simple (ASiC-S)","","","asics,scs,"
"fmt/1082","ASP WebService Directive File","","","asmx,"
"x-fmt/138","Active Server Page","","","asp,"
"fmt/1710","Persuasion Auto-Template Interchange File","","","atf,"
"fmt/1822","Audacity Audio Block File","","","au,"
"x-fmt/139","NeXT/Sun sound","","","au,"
"fmt/1824","Audacity Project File","1.x","","aup,"
"fmt/1825","Audacity Project File","2.x","","aup,"
"fmt/1823","Audacity Project File","Early","","aup,"
"fmt/1826","Audacity Project File","3.x","","aup3,"
"fmt/5","Audio/Video Interleaved Format","","","avi,"
"x-fmt/326","Hewlett Packard AdvanceWrite Text File","","","aw,"
"fmt/954","Adaptive Multi-Rate Wideband Audio","","","awb,"
"fmt/1179","Away3D Data Format","2.x","","awd,"
"x-fmt/361","StatGraphics Data File","","","aws,"
"fmt/891","AbiWord Document Template","","","awt,"
"fmt/884","AXD HTTP Handler File","","","axd,"
"fmt/1937","Amazon Kindle eBook File","","","azw,azw3,mobi,amr,"
"fmt/1804","B Source Code File","","","b,"
"fmt/1182","Blitz3D File Format","","","b3d,"
"fmt/1181","Bodypaint 3D","","","b3d,"
"fmt/941","Back Up File","","","bak,"
"fmt/1773","Calc602 Spreadsheet File","","","bak,tc6,"
"fmt/1698","Calc602 Spreadsheet file","1.00","","bak,tc6,"
"fmt/1697","Calc602 Spreadsheet file","1.51","","bak,tc6,"
"fmt/1300","Broderbund The Print Shop/PrintMaster/American Greetings Project","10-23","","ban,bro,biz,cal,car,cer,env,fax,sig,cft,hcr,lbl,let,nws,not,pcr,php,tsh,web,sti,"
"fmt/1302","PrintMaster Gold Project","1","","ban,cal,car,let,sig,"
"fmt/885","BASIC File","","","bas,"
"x-fmt/413","Batch file (executable)","","","bat,"
"fmt/1298","Calendar Creator File","7-8","","bcc,"
"x-fmt/344","Microsoft Works Database","","","bdb,"
"fmt/1076","AVCHD Index File","","","bdm,bdmv,"
"fmt/1075","AVCHD Movie Object File","","","bdm,bdmv,"
"fmt/1340","BDOC","1","","bdoc,"
"fmt/1342","BDOC","2.x","","bdoc,asice,"
"fmt/1616","BibTeX Database File","","","bib,"
"fmt/1650","Bayesian Interchange Format File","","","bif,"
"fmt/731","Bink Video Format","1","","bik,"
"fmt/732","Bink Video Format","2","","bik2,bk2,"
"fmt/1238","Band Interleaved By Line (BIL) Image Encoding","","","bil,"
"fmt/1722","BIM Metadata File","","","bim,"
"fmt/1914","Graphisoft BIMx Hyper-Model","","","bimx,"
"fmt/208","Binary File","","","bin,"
"fmt/1885","CloudCompare Entity File","","","bin,"
"fmt/1762","MacBinary","II","","bin,"
"fmt/1763","MacBinary","III","","bin,"
"fmt/1239","Band Interleaved By Pixel (BIP) Image Encoding","","","bip,"
"fmt/1052","BKNAS Seismic Data Format","1.0","","bknas,"
"fmt/902","Blender 3D","32 bit","","blend,"
"fmt/903","Blender 3D","64 bit","","blend,"
"x-fmt/24","AutoCAD Block Attribute Template","","","blk,"
"fmt/1413","Corel Gallery Clipart","BMF","","bmf,"
"x-fmt/270","OS/2 Bitmap","2.0","","bmp,"
"fmt/115","Windows Bitmap","2.0","","bmp,dib,"
"fmt/118","Windows Bitmap","4.0","","bmp,dib,"
"fmt/119","Windows Bitmap","5.0","","bmp,dib,"
"x-fmt/339","Lotus Notes File","","","box,"
"x-fmt/26","AutoCAD Batch Plot File","1.0-R14","","bp2,bpl,"
"x-fmt/27","AutoCAD Batch Plot File","2000-2005","","bp3,"
"fmt/687","Better Portable Graphics","","","bpg,"
"x-fmt/345","Microsoft Works Document","","","bps,"
"fmt/1836","Brio Query File","","","bqy,"
"fmt/1875","Maptech BSB Documentation File","","","bsb,kap,"
"fmt/439","BSDIFF","4.0","","bsdiff,"
"fmt/1358","MicroStation Base File","","","bse,"
"fmt/1240","Band Sequential (BSQ) Image Encoding","","","bsq,"
"x-fmt/308","Btrieve Database","5.1","","btr,"
"fmt/359","Microsoft Front Page Binary Tree Index","","","btr,"
"x-fmt/140","Silicon Graphics Image","","","bw,rgb,"
"fmt/1335","Sony PictureGear Studio Binder","","","bxu,bxt,"
"x-fmt/267","BZIP Compressed Archive","","","bz,"
"x-fmt/268","BZIP2 Compressed Archive","","","bz2,"
"fmt/1768","C Source Code File","","","c,"
"fmt/1130","C3D File Format","","","c3d,"
"fmt/415","Cinema 4D","4.x","","c4d,"
"fmt/540","Cinema 4D","5.x","","c4d,"
"fmt/1180","Cinema 4D","6+","","c4d,"
"x-fmt/414","Windows Cabinet File","","","cab,"
"fmt/416","Apple Core Audio Format","1.0","","caf,"
"x-fmt/28","CALS Compressed Bitmap","","","cal,"
"fmt/403","SuperCalc Spreadsheet","1","","cal,"
"x-fmt/363","SuperCalc Spreadsheet","4","","cal,"
"x-fmt/364","SuperCalc Spreadsheet","5","","cal,"
"fmt/1772","Casio QV CAM","","","cam,"
"fmt/1853","Camtasia Studio Project","","","camproj,"
"fmt/1852","Camtasia Recording File","","","camrec,"
"fmt/777","Microsoft Network Monitor Packet Capture","1","","cap,"
"fmt/778","Microsoft Network Monitor Packet Capture","2","","cap,"
"fmt/1060","Phase One Raw Image","","","cap,capture,"
"fmt/452","Acrobat Catalog Cat File","","","cat,"
"fmt/1615","CATIA Drawing","5","","catdrawing,"
"x-fmt/438","CATIA Material Description","5","","catmaterial,"
"x-fmt/439","CATIA Model (Part Description)","5","","catpart,"
"x-fmt/440","CATIA Product Description","5","","catproduct,"
"fmt/1462","Comic Book Archive","","","cb7,cba,cbr,cbt,cbz,"
"x-fmt/221","MapBrowser/MapWriter Vector Map Data","","","cbd,"
"fmt/1296","Calendar Creator File","4","","cc3,"
"fmt/1297","Calendar Creator File","5-6","","cc5,"
"fmt/1821","MacCaption Project","","","cca,"
"fmt/1760","CloneCD Control File","","","ccd,"
"x-fmt/141","Calendar Creator Plus Data File","2","","cce,"
"x-fmt/310","CorelCHART Document","","","cch,"
"fmt/1312","CorelCHART Document","3-4","","cch,"
"fmt/1313","CorelCHART Document","5","","cch,"
"fmt/1489","Phantom CINE Compressed Video File","","","cci,"
"fmt/665","Chasys Draw image file","","","cd5,"
"x-fmt/222","CD Audio","","","cda,"
"fmt/467","CorelDraw Drawing","1.0","","cdr,"
"x-fmt/375","CorelDraw Drawing","10.0","","cdr,"
"x-fmt/378","CorelDraw Drawing","11.0","","cdr,"
"fmt/427","CorelDraw Drawing","12.0","","cdr,"
"fmt/466","CorelDraw Drawing","2.0","","cdr,"
"fmt/1928","CorelDraw Drawing","2017","","cdr,"
"fmt/1929","CorelDraw Drawing","2018","","cdr,"
"fmt/1930","CorelDraw Drawing","2019","","cdr,"
"fmt/1931","CorelDraw Drawing","2020","","cdr,"
"fmt/1932","CorelDraw Drawing","2021","","cdr,"
"fmt/1933","CorelDraw Drawing","2022","","cdr,"
"fmt/1934","CorelDraw Drawing","2023","","cdr,"
"x-fmt/379","CorelDraw Drawing","3.0","","cdr,"
"fmt/465","CorelDraw Drawing","4.0","","cdr,"
"fmt/464","CorelDraw Drawing","5.0","","cdr,"
"x-fmt/29","CorelDraw Drawing","6.0","","cdr,"
"x-fmt/291","CorelDraw Drawing","7.0","","cdr,"
"fmt/1924","CorelDraw Drawing","8 Bidi","","cdr,"
"x-fmt/292","CorelDraw Drawing","8.0","","cdr,"
"x-fmt/374","CorelDraw Drawing","9.0","","cdr,"
"fmt/428","CorelDraw Drawing","X3","","cdr,"
"fmt/429","CorelDraw Drawing","X4","","cdr,"
"fmt/430","CorelDraw Drawing","X5","","cdr,"
"fmt/1925","CorelDraw Drawing","X6","","cdr,"
"fmt/1926","CorelDraw Drawing","X7","","cdr,"
"fmt/1927","CorelDraw Drawing","X8","","cdr,"
"x-fmt/30","CorelDraw Template","","","cdt,"
"fmt/869","CDX Internet Archive Index","","","cdx,"
"fmt/378","Chemical Draw Exchange Format","","","cdx,"
"fmt/375","FoxPro Compound Index File","","","cdx,"
"x-fmt/31","CorelDraw Compressed Drawing","1","","cdx,cjw,"
"fmt/1277","Cindex Document","2","","cdx,tpl,"
"fmt/1295","Calendar Creator Event","3-4","","ce3,"
"x-fmt/223","Autodesk Animator CEL File Format","","","cel,"
"fmt/1944","Common Loudspeaker Format (CLF)","1","","cf1,"
"fmt/1945","Common Loudspeaker Format (CLF)","2","","cf2,"
"fmt/1711","Software602 Printer Configuration File","1.0","","cfg,"
"fmt/1566","ColdFusion Markup Language","","","cfm,"
"fmt/303","Computer Graphics Metafile (Binary)","1","","cgm,"
"fmt/304","Computer Graphics Metafile (Binary)","2","","cgm,"
"fmt/305","Computer Graphics Metafile (Binary)","3","","cgm,"
"fmt/306","Computer Graphics Metafile (Binary)","4","","cgm,"
"x-fmt/142","Computer Graphics Metafile ASCII","1","","cgm,"
"fmt/301","Computer Graphics Metafile ASCII","3","","cgm,"
"fmt/302","Computer Graphics Metafile ASCII","4","","cgm,"
"x-fmt/32","Harvard Graphics Chart","3.0","","ch3,"
"fmt/1798","CHAT Transcription Format","","","cha,"
"x-fmt/309","ChiWriter Document","3","","chi,"
"fmt/300","ChiWriter Document","4","","chi,"
"fmt/634","Microsoft Compiled HTML Help","","","chm,chw,"
"fmt/1406","Flow Charting","I-II+","","cht,"
"x-fmt/325","Harvard Graphics Vector Graphics","2.0","","cht,"
"fmt/1887","Common Instrument File (CIF)","1","","ci1,"
"fmt/1888","Common Instrument File (CIF)","2","","ci2,"
"fmt/495","ATCO-CIF","","","cif,"
"fmt/1750","Canon CIF File","","","cif,"
"fmt/334","Crystallographic Information Framework","","","cif,"
"fmt/1871","Common Interface File","","","cif,mca,"
"x-fmt/143","OS/2 Change Control File","","","cin,"
"fmt/1488","Phantom CINE Video File","","","cine,cin,"
"x-fmt/415","Java Class File","","","class,"
"fmt/1655","cdrLabel Label File","","","clb,"
"x-fmt/33","Corel R.A.V.E.","1","","clk,"
"fmt/431","Corel R.A.V.E.","2","","clk,"
"fmt/432","Corel R.A.V.E.","3","","clk,"
"fmt/1625","ESRI Colour File Format","","","clr,"
"fmt/333","Chemical Markup Language","","","cml,"
"fmt/1208","Virtools File Format","","","cmo,nmo,vmo,nms,"
"fmt/1336","LEADTools Lead 1Bit Compressed Image","","","cmp,"
"fmt/1337","LEADToolsCompressed Image","","","cmp,"
"x-fmt/34","Corel Presentation Exchange File","5.0","","cmx,"
"x-fmt/35","Corel Presentation Exchange File","6 and Later","","cmx,"
"fmt/1656","Microsoft Help Contents File","","","cnt,"
"fmt/913","Caligari trueSpace File Format","ASCII","","cob,scn,"
"fmt/914","Caligari trueSpace File Format","Binary","","cob,scn,"
"fmt/1857","Capture One Session File","","","cos,"
"fmt/1725","Capture One Settings File","","","cos,"
"fmt/1253","ESRI Code Page File","","","cpg,"
"fmt/1417","Corel Print House Document","1","","cph,cpd,"
"fmt/1418","Corel Print House Document","2","","cph,cpd,"
"fmt/1419","Corel Print House/Print Office Document","3","","cph,cpd,cpo,"
"fmt/1420","Corel Print House/Print Office Document","4","","cph,cpd,cpo,"
"fmt/1421","Corel Print House/Print Office Document","5","","cph,cpd,cpo,"
"fmt/1054","AVCHD Clip Information File","","","cpi,clpi,"
"fmt/727","Cartesian Perceptual Compression image format","","","cpi,cpc,"
"fmt/635","CPIO","","","cpio,"
"fmt/1693","Asymetrix Compel Presentation","1.0","","cpl,art,"
"fmt/1694","Asymetrix Compel Presentation","2.0","","cpl,art,"
"fmt/1769","C++ Source Code File","","","cpp,cxx,cc,"
"fmt/1422","Corel Photo House Image","","","cps,"
"x-fmt/144","Corel Photo-Paint Image","","","cpt,"
"x-fmt/36","CorelDraw Compressed Drawing","2","","cpx,"
"fmt/658","Cypher Query Language","","","cql,"
"fmt/592","Canon RAW","2.0","","cr2,"
"fmt/1595","Canon Raw","3.0","","cr3,"
"fmt/909","CRAM File Format","1.x","","cram,"
"fmt/910","CRAM File Format","2.x","","cram,"
"fmt/911","CRAM File Format","3.x","","cram,"
"fmt/1254","Cardfile","","","crd,"
"fmt/1716","Cintel Raw Image/DaVinci Resolve Image","","","cri,dvcc,"
"fmt/822","CRT C64 Cartridge Image Format","","","crt,"
"fmt/593","Canon RAW","1.0","","crw,"
"fmt/1936","PCRaster","","","csf,map,"
"x-fmt/224","Cascading Style Sheet","","","css,"
"x-fmt/18","Comma Separated Values","","","csv,"
"fmt/800","CSV Schema","","","csvs,"
"x-fmt/146","Scitex Continuous Tone Bitmap","","","ct,sct,"
